id,date,title,body
1,1,● Unending Vanishing Incidents! Police Say to Avoid Going Out Late at Night,"◆ Society
● Unending Vanishing Incidents! Police Say to Avoid Going Out Late at Night

The Vanishing Incidents continue to increase, with six reported cases of people disappearing in the last seven days.

The police department is telling people to avoid going out alone late at night, as the victims are usually out late at night, on their own, and young."
2,1,● Experts Warn That 34% of Youth Addicted to Cell Phones,"◆ Science & Culture
◆ Lifestyle
● Experts Warn That 34% of Youth Addicted to Cell Phones

A survey by the Ministry of Education has found that 34% of all cell phone owners under 30 are addicted to their cell phones.

Experts warn that the increase in cell phone functions like internet browsing and rich-text deco-mails has had a negative impact on the daily lives of young people, and that cell phone companies should work with the government to take countermeasures."
3,1,"● Nikkei Five-Year Low of 10,312 Yen","◆ Finance
● Nikkei Five-Year Low of 10,312 Yen

The Nikkei closed at 10,312.75 yen on the 4th, continuing its decline from the day before to drop 14 yen to reach a new five-year low.

The Nikkei has continued a historic downtrend since September due to the global stock market slump triggered by the U.S. financial crisis."
4,2,● Salmon Population Down 70% Due to Beta-Noxenis Pollution,"◆ Science & Culture
◆ International
● Salmon Population Down 70% Due to Beta-Noxenis Pollution

A U.S. research team reports that salmon populations in the western U.S. have declined by 70% in the past 10 years due to severe beta-noxenis pollution in the water.

The United Nations expressed serious concern last month over the environmental impact of pollutants including beta-noxenis."
5,2,"● Giants on a Roll With ""No Weak Points""","◆ Sports
● Giants on a Roll With ""No Weak Points""

Giants in second in the Central League trounced Chunichi in third 3-0, closing their gap with Hanshin in first to only one game.

Former pro baseball player Kakeyama commented, ""The Giants right now have no weak points. Nobody can stop them. A victory from behind is definitely possible (even with only a few games left)."""
6,2,● Schoolkids Enjoy Cream Puffs in School Lunches,"◆ Lifestyle
◆ Local
● Schoolkids Enjoy Cream Puffs in School Lunches

In Sakahama, Kanagawa, schoolchildren enjoyed the cream puffs that were included in school lunches at all the public elementary schools on the 5th.

Sakahama is known as where cream puffs first came to Japan. In recent years, the town has held community events like cream puff eating contests."
7,3,"● H&A Lands in Japan, Opens First Store in Harajuku","◆ Lifestyle
◆ Local
● H&A Lands in Japan, Opens First Store in Harajuku

H&A, a clothing brand popular in Europe and the U.S., has opened its long-awaited first store in Japan. There was a long line of customers in Harajuku even before the store opened.

The brand is known overseas for promptly offering the latest trends at low prices and is particularly popular among the youth."
8,3,● Major Insurance Company Sells Vanishing Insurance,"◆ Society
◆ Business
● Major Insurance Company Sells Vanishing Insurance

Major insurance company Travolta Life has announced an insurance policy to compensate losses incurred when people go missing in a disappearance related to the Vanishing Incidents.

The Vanishing Incidents do not leave any physical evidence like bodies, causing issues where traditional life insurance policies have denied payouts."
9,3,● Calls for Households to Take Measures Against Beta-Noxenis,"◆ Society
◆ Science & Culture
● Calls for Households to Take Measures Against Beta-Noxenis

The Ministry of the Environment has published a manual for households about beta-noxenis contamination, which has been increasing recently.

Beta-noxenis is a pollutant that cannot be avoided in modern industrial emissions. Its high toxicity to the environment is being viewed as a problem."
10,4,● Disappearance of Daughter of Large Conglomerate Connected to Vanishing Incidents?,"◆ Society
● Disappearance of Daughter of Large Conglomerate Connected to Vanishing Incidents?

The police department just held a press conference to report the disappearance of Clara Kotobishi (21), a member of the Kotobishi group who is expected to be the next head of the group.

The inexplicable incident occurred with many security guards nearby and is thought to likely be connected to the Vanishing Incidents."
11,4,"● Nikkei Plunges Again, Below 10000 Yen for First Time in Five Years","◆ Business
● Nikkei Plunges Again, Below 10,000 Yen for First Time in Five Years

The Nikkei, which has been on a downward trend due to the U.S. financial crisis, closed today at 9,984.23 yen, finally going below the 10,000-yen line.

Experts are already expressing concern about the economy in the wake of this record plunge."
12,4,"● ""None"" Tops the Children's Future Dream List for Fourth Year Running","◆ Lifestyle
● ""None"" Tops the Children's Future Dream List for Fourth Year Running

In a survey of elementary and junior high school students across Japan, ""none"" was the most common response in a question asking what their dreams for the future were.

This is the fourth consecutive year with this result. One education expert has called for drastic educational reform, stating that the current educational system which teaches to the test denies children their individuality."
13,5,● Vanishing Incidents: Police Greatly Increase Patrols,"◆ Society
◆ Local
● Vanishing Incidents: Police Greatly Increase Patrols

The police department announced that they will greatly increase patrols in the city to target the Vanishing Incidents, a series of inexplicable disappearances.

Alerts at this large scale are unusual. Some experts have suggested that the disappearance of a member of the Kotobishi family, a tycoon of the political and business worlds, is behind the level of alarm within the police force."
14,5,"● Smartphones Are Spreading, but Are They Really That Useful?","◆ Business
◆ Lifestyle
● Smartphones Are Spreading, but Are They Really That Useful?

With their full-sized touch screens controlled by finger slides and taps, the market share of smartphones has been growing. The functions of applications are the main selling point, and their use has spread mainly among businessmen in Europe and the U.S.

However, the lack of support for functions like emoji or deco-mails have limited their revenue in the Japanese market at this point in time."
15,5,● Three Japanese People Receive Nobel Prize in Physics,"◆ Science & Culture
◆ International
● Three Japanese People Receive Nobel Prize in Physics

On the 7th, the Royal Swedish Academy of Sciences announced that three Japanese people would receive the Nobel Prize for their ""great contributions to the field of particle physics"" this year.

The three recipients do their research based in the U.S. At the Japanese press conference, questions were focused on how the recipients' wives committed themselves to supporting their husbands' research."
16,6,● Missing Daughter of Conglomerate Handed Out Flyers Right Before Disappearance,"◆ Society
● Missing Daughter of Conglomerate Handed Out Flyers Right Before Disappearance

It was discovered that Clara Kotobishi (21), a member of the Kotobishi group, was handing out flyers in a residential area right before her disappearance.

A nearby resident was interviewed and said, ""Several men were standing close to her. She was handing out flyers asking for information about somebody else who'd gone missing."""
17,6,● Convenience Store Profits at All-Time High,"◆ Business
◆ Society
● Convenience Store Profits at All-Time High

Retail industry leader Eight & j Holdings announced its interim financial statements and revealed that it expects its convenience store business to post its highest operating profits ever.

Conversely, profits for its supermarket business continue to decline for the fourth consecutive fiscal year, highlighting once again Japan's societal trend toward single life and urbanization."
18,6,"● F1 Japan GP, Fastest Race in the World, Begins","◆ Sports
● Fastest Race in the World: F1 Japan GP Begins

The F1 Japanese GP began on the 10th at Fuji Speedway. The F1 is known as the fastest automobile race in the world.

In the middle of the competition for the championship, the press conference on the 9th drew attention to two Japan-based manufacturers who continue to compete despite a sharp decline in profits caused by the financial crisis."
19,7,● Vanishing Incidents Solved? Police Department Identifies Suspect,"◆ Society
● Vanishing Incidents Solved? Police Department Identifies Suspect

The Tohto Shimbun reported on the 10th that the police have identified a suspect in the series of inexplicable disappearances referred to as the Vanishing Incidents.

The police have greatly strengthened their investigation into the Vanishing Incidents ever since Clara Kotobishi's disappearance."
20,7,● What Should You Do if You Fall In Love With Someone?,"◆ Lifestyle
◆ For Kids
● What Should You Do if You Fall In Love With Someone?

(Year 1 of Junior High) I thought romance wasn't for me, but after a friend mentioned it, I noticed that I'm always looking at A in class. I can't tell him how I feel, but how can I get to know him better?

(Responses to this question can be sent via postcard or email. Responses must be delivered by the 14th and include your nickname, address, and school year. Send responses to ◯◯◯.)"
21,7,● No Progress for Beta-Noxenis International Cooperation,"◆ Society
◆ International
● No Progress for Beta-Noxenis International Cooperation

On the 10th, an international conference was held in Paris to discuss what measures to take against the rapidly spreading beta-noxenis pollution.

Members from 34 countries and regions including developing countries participated in the meeting, but they did not make any concrete proposals such as an international emissions cap as anticipated. They only confirmed that future discussions would continue."
